iter	RMSE
0	0.035496374
1	0.03416058875
2	0.03290112456
3	0.03166164914
4	0.03054405204
5	0.02947023335
6	0.02846671995
7	0.02752119373
8	0.02669262729
9	0.02592897706
10	0.02511883593
11	0.02435999021
12	0.02366146966
13	0.02296318361
14	0.02231750711
15	0.02170540016
16	0.02112402675
17	0.02058248047
18	0.02007212055
19	0.01957868857
20	0.01911818852
21	0.01866268503
22	0.01824106934
23	0.01785169437
24	0.01748629213
25	0.01714308976
26	0.01680852207
27	0.01647206968
28	0.01613518116
29	0.01583810018
30	0.01554029933
31	0.0152790382
32	0.01502128848
33	0.01479550918
34	0.0145709843
35	0.01435518854
36	0.01413427177
37	0.01393498632
38	0.01374223256
39	0.01353511411
40	0.01334816236
41	0.01319611624
42	0.01303331305
43	0.01287779967
44	0.01273774025
45	0.0125946041
46	0.01244289246
47	0.01233061492
48	0.01220079512
49	0.0120943928
50	0.01196295938
51	0.01185401052
52	0.01175918489
53	0.01165985056
54	0.01156652808
55	0.01147568503
56	0.01136938104
57	0.01124755122
58	0.01113393024
59	0.01105717698
60	0.01099199639
61	0.01091345917
62	0.01083378576
63	0.01076366406
64	0.0106974066
65	0.0106332357
66	0.01054392398
67	0.01045671654
68	0.0103909133
69	0.01032716685
70	0.01026872341
71	0.01021696217
72	0.01016233872
73	0.01006662813
74	0.01001758642
75	0.009935015085
76	0.009879912495
77	0.009799540729
78	0.00976416598
79	0.009714376216
80	0.009655960183
81	0.009589293077
82	0.009541814744
83	0.009494186114
84	0.009456871843
85	0.009429929719
86	0.009376957515
87	0.009323741556
88	0.00928362155
89	0.009230480738
90	0.009196524293
91	0.009149409722
92	0.009106509255
93	0.009062309625
94	0.009029648785
95	0.008975312252
96	0.008941923899
97	0.008889559214
98	0.008836979378
99	0.008805168667
100	0.008775773057
101	0.008735951492
102	0.008687471021
103	0.008661428568
104	0.008624979176
105	0.008594091447
106	0.008562034497
107	0.00852571056
108	0.008487514718
109	0.008443812002
110	0.008412173587
111	0.008384336229
112	0.008361994826
113	0.008319385165
114	0.00829996084
115	0.008275271489
116	0.008256458739
117	0.008228859304
118	0.008208620183
119	0.008179197431
120	0.008154184474
121	0.008111433495
122	0.008076962351
123	0.008046529996
124	0.008020969656
125	0.00798387558
126	0.007964216219
127	0.007935741369
128	0.007914541264
129	0.0078823467
130	0.007852701382
131	0.007823088645
132	0.00778880105
133	0.007764895131
134	0.007743251963
135	0.007723432207
136	0.007708021714
137	0.007691288081
138	0.007674127031
139	0.00765723075
140	0.007628508944
141	0.007611669638
142	0.007581137308
143	0.007557958012
144	0.007534100822
145	0.007514835238
146	0.007495817995
147	0.007476933746
148	0.007454356358
149	0.007429803536
150	0.007413551645
151	0.007392850765
152	0.007372435342
153	0.0073482812
154	0.007331310098
155	0.007316447029
156	0.007286761372
157	0.00726963741
158	0.007250498236
159	0.007233117189
160	0.007218645652
161	0.007199674646
162	0.007177170514
163	0.007166066646
